,name,affiliation,race,status,devil_fruit,origin,haki,bounty,devil_fruit_type
142,Brahm,Arabasta Kingdom,Human,Deceased,Unknown,,,,Unknown
143,Brannew,Marines,Human,Alive,Unknown,Grand Line,,100000000,Unknown
144,Brew,Whitebeard Pirates,Human,Alive,Unknown,,,,Unknown
145,Briscola,Beasts Pirates,Human,Alive,Gorilla SMILE (2),,,,Zoan
146,Brocca,Whitebeard Pirates,Human,Alive,Unknown,,,,Unknown
147,Brogy,Giant Warrior Pirates,Giant,Alive,Unknown,Grand Line (Elbaph),,1800000000,Unknown
148,Brontosaurus,,Animal,Deceased,Unknown,Grand Line (Little Garden),,,Unknown
149,Brook,Straw Hat Pirates,Human,Alive,Yomi Yomi no Mi,West Blue,,383000000,Paramecia
150,Bubblegum,Kid Pirates,Human,Unknown,Unknown,,,,Unknown
151,Buche,WCI 31,Human,Alive,Unknown,,,,Unknown
152,Buchi,Black Cat Pirates,Human,Alive,Unknown,East Blue,,7000000,Unknown
153,Buckingham Stussy,Rocks Pirates (former),Human,Alive,Unknown,Grand Line,,,Unknown
154,Buffalo,Donquixote Pirates,Human,Alive,Guru Guru no Mi,North Blue,,,Paramecia
155,Buggy,Cross Guild,Human,Alive,Bara Bara no Mi,Grand Line,,3189000000,Paramecia
156,Buhichuck,Thriller Bark Pirates,Devil Fruit creation,Deceased,Unknown,,,,Unknown
157,Building Snake,Red Hair Pirates,Human,Alive,Unknown,,,,Unknown
158,Bulldog,Sorbet Kingdom,Human,Alive,Unknown,,,,Unknown
159,Bunbuku,,Object,Alive,"Inu Inu no Mi, Model: Tanuki",,,,Zoan
160,Bungo,,Human,Alive,Unknown,,,,Unknown
161,Bunny Joe,Revolutionary Army,Human,Alive,Unknown,,,,Unknown
162,Bushon,Water 7,Human,Alive,Unknown,,,,Unknown
163,Busshiri,Ohara Archaeologists,Human,Deceased,Unknown,,,,Unknown
164,Byron,,Human,Alive,Unknown,West Blue,,,Unknown
165,Cabaji,Cross Guild,Human,Alive,Unknown,East Blue,,,Unknown
166,Caesar Clown,Germa Kingdom,Human,Alive,Gasu Gasu no Mi,Grand Line,,300000000,Logia
167,Caimanlady,Beasts Pirates,Human,Alive,Caiman SMILE,,,,Zoan
168,Camel,Blackbeard Pirates (former),Animal,Alive,Unknown,,,,Unknown
169,Camie,Mermaid Café,Merfolk,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
170,Cancer,Marines,Human,Alive,Unknown,,['Armament'],500000000,Unknown
171,Candre,Marines ,Human,Alive,Unknown,,,,Unknown
172,Cands,Whitebeard Pirates,Human,Alive,Unknown,,,,Unknown
173,Candy,Candy Pirates,Human,Unknown,Unknown,Grand Line,,,Unknown
174,Capone Bege,Fire Tank Pirates,Human,Alive,Shiro Shiro no Mi,West Blue,,350000000,Paramecia
175,Capone Pez,Fire Tank Pirates,Human,Alive,Unknown,,,,Unknown
176,Capote,Foxy Pirates (former),Fish-man,Alive,Unknown,,,,Unknown
177,Caribou,Caribou Pirates,Human,Alive,Numa Numa no Mi,North Blue,,210000000,Logia
178,Carmel,Underworld,Human,Deceased,Soru Soru no Mi,West Blue,,,Paramecia
179,Carne,Baratie,Human,Alive,Unknown,East Blue,,,Unknown
180,Carrot,Mokomo Dukedom,Mink,Alive,Unknown,Grand Line (Mokomo Dukedom),,,Unknown
181,Catacombo,Marines,Human,Alive,Unknown,,,200000000,Unknown
182,Catarina Devon,Blackbeard Pirates,Human,Alive,"Inu Inu no Mi, Model: Kyubi no Kitsune",South Blue,,,Zoan
183,Caucasusman,Beasts Pirates (Armored Division),Human,Alive,Caucasus Beetle SMILE,,,,Zoan
184,Cavendish,Beautiful Pirates,Human,Alive,Unknown,Grand Line (Bourgeois Kingdom),"['Observation', 'Armament']",330000000,Unknown
185,CB Gallant,Roger Pirates,Human,Unknown,Unknown,,,,Unknown
186,Cerberus,Thriller Bark Pirates,Devil Fruit creation,Deceased,Unknown,,,,Unknown
187,Cerberus (Sword),Knights of God,Object,Alive,Unnamed Cerberus Zoan (Awakened),,,,Zoan
188,Cezar,Ilisia Kingdom,Human,Alive,Unknown,,,,Unknown
189,Chabo,Nojiko's mikan farm,Human,Alive,Unknown,East Blue (Conomi Islands),,,Unknown
190,Chadros Higelyges [Brownbeard],Caesar Clown (Defected),Human,Alive,Unknown,Grand Line,,"80,060,000 (former)",Unknown
191,Chaka,Arabasta Kingdom,Human,Alive,"Inu Inu no Mi, Model: Jackal",Grand Line (Arabasta Kingdom),,,Zoan
192,Chao,Tontatta Kingdom,Dwarf,Alive,Unknown,,,,Unknown
193,Chap,Deul Kingdom,Human,Alive,Unknown,,,,Unknown
194,Chappe,Caesar Clown (former),Human,Alive,Unknown,,,,Unknown
195,Charlotte Akimeg,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
196,Charlotte Allmeg,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
197,Charlotte Amande,Big Mom Pirates,Human-Snakeneck hybrid,Alive,Unknown,,,,Unknown
198,Charlotte Anana,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
199,Charlotte Angel,Big Mom Pirates,Human,Alive,Unknown,Grand Line (On a boat),,,Unknown
200,Charlotte Anglais,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
201,Charlotte Basans,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
202,Charlotte Basskarte,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
203,Charlotte Bavarois,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
204,Charlotte Brownie,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
205,Charlotte Broyé,Big Mom Pirates,Human,Alive,Unknown,Grand Line (At a random port),,,Unknown
206,Charlotte Brûlée,Big Mom Pirates,Human,Alive,Mira Mira no Mi,Grand Line (At a random port),,,Paramecia
207,Charlotte Cabaletta,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
208,Charlotte Cadenza,Big Mom Pirates,Human,Alive,Unknown,,['Armament'],,Unknown
209,Charlotte Chiboust,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
210,Charlotte Chiffon,Fire Tank Pirates,Human,Alive,Unknown,Grand Line (Totto Land),,,Unknown
211,Charlotte Cinnamon,Big Mom Pirates,Human-Longleg hybrid,Alive,Unknown,Grand Line (Totto Land),,,Unknown
212,Charlotte Citron,Big Mom Pirates,Human-Longleg hybrid,Alive,Unknown,Grand Line (Totto Land),,,Unknown
213,Charlotte Compo,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
214,Charlotte Compote,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
215,Charlotte Cornstarch,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
216,Charlotte Counter,Big Mom Pirates,Human,Alive,Unknown,,['Armament'],,Unknown
217,Charlotte Cracker,Big Mom Pirates,Human,Alive,Bisu Bisu no Mi,Grand Line (On a boat),"['Observation', 'Armament']",860000000,Paramecia
218,Charlotte Custard,Big Mom Pirates,Human,Alive,Unknown,Grand Line (On a boat),,,Unknown
219,Charlotte Dacquoise,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
220,Charlotte Daifuku,Big Mom Pirates,Human,Alive,Hoya Hoya no Mi,Grand Line (On a boat),"['Observation', 'Armament']",300000000,Paramecia
221,Charlotte De-Chat,Charlotte Family,Human-Fish-man hybrid,Alive,Unknown,,,,Unknown
222,Charlotte Dolce,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
223,Charlotte Dosmarche,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
224,Charlotte Dragée,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
225,Charlotte Effilée,Big Mom Pirates,Human-Snakeneck hybrid,Alive,Unknown,,,,Unknown
226,Charlotte Flampe,Big Mom Pirates,Human,Alive,Unknown,Grand Line (Totto Land),,,Unknown
227,Charlotte Fuyumeg,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
228,Charlotte Gala,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
229,Charlotte Galette,Big Mom Pirates,Human,Alive,Bata Bata no Mi,,,,Paramecia
230,Charlotte Hachée,Big Mom Pirates,Human-Snakeneck hybrid,Alive,Unknown,,,,Unknown
231,Charlotte Harumeg,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
232,Charlotte High-Fat,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
233,Charlotte Joconde,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
234,Charlotte Joscarpone,Big Mom Pirates,Human-Snakeneck hybrid,Alive,Unknown,,,,Unknown
235,Charlotte Kanten,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
236,Charlotte Katakuri,Big Mom Pirates,Human,Alive,Mochi Mochi no Mi (Awakened),Grand Line (On a boat),"['Conquerors', 'Observation', 'Armament']",1057000000,Paramecia
237,Charlotte Kato,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
238,Charlotte Laurin,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
239,Charlotte Linlin [Big Mom],Big Mom Pirates,Human,Unknown,Soru Soru no Mi,Grand Line,"['Conquerors', 'Observation', 'Armament']",4388000000,Paramecia
240,Charlotte Lola,Rolling Pirates,Human,Alive,Unknown,Grand Line (Totto Land),,24000000,Unknown
241,Charlotte Maple,Big Mom Pirates,Human-Longarm hybrid,Alive,Unknown,,,,Unknown
242,Charlotte Marble,Big Mom Pirates,Human-Longarm hybrid,Alive,Unknown,,,,Unknown
243,Charlotte Marnier,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
244,Charlotte Mascarpone,Big Mom Pirates,Human-Snakeneck hybrid,Alive,Unknown,,,,Unknown
245,Charlotte Mash,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
246,Charlotte Melise,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
247,Charlotte Mobile,Big Mom Pirates,Human-Longarm hybrid,Alive,Unknown,,,,Unknown
248,Charlotte Mondée,Big Mom Pirates,Human-Snakeneck hybrid,Alive,Unknown,,,,Unknown
249,Charlotte Mont-dOr,Big Mom Pirates,Human,Alive,Buku Buku no Mi,Grand Line (On a boat),,120000000,Paramecia
250,Charlotte Montb,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
251,Charlotte Moscato,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
252,Charlotte Mozart,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
253,Charlotte Myukuru,Big Mom Pirates,Human-Longarm hybrid,Alive,Unknown,,,,Unknown
254,Charlotte Newgo,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
255,Charlotte Newichi,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
256,Charlotte Newji,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
257,Charlotte Newsan,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
258,Charlotte Newshi,Big Mom Pirates,Human,Alive,Gocha Gocha no Mi,,,,Paramecia
259,Charlotte Noisette,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
260,Charlotte Normande,Charlotte Family,Dosundada (Human-Dwarf hybrid),Alive,Unknown,,,,Unknown
261,Charlotte Nougat,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
262,Charlotte Nusstorte,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
263,Charlotte Nutmeg,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
264,Charlotte Opera,Big Mom Pirates,Human,Unknown,Kuri Kuri no Mi,,,,Paramecia
265,Charlotte Oven,Big Mom Pirates,Human,Alive,Netsu Netsu no Mi,Grand Line (On a boat),"['Observation', 'Armament']",300000000,Paramecia
266,Charlotte Panna,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
267,Charlotte Perospero,Big Mom Pirates,Human,Alive,Pero Pero no Mi,Grand Line (At a random port),"['Observation', 'Armament']",700000000,Paramecia
268,Charlotte Poire,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
269,Charlotte Praline,Sun Pirates,Merfolk-Human hybrid,Alive,Unknown,Grand Line (Totto Land),,,Unknown
270,Charlotte Prim,Big Mom Pirates,Merfolk-Human hybrid,Alive,Unknown,Grand Line (Totto Land),,,Unknown
271,Charlotte Pudding,Big Mom Pirates,Human-Three-Eye hybrid,Alive,Memo Memo no Mi,Grand Line (Totto Land),,,Paramecia
272,Charlotte Raisin,Big Mom Pirates,Human,Alive,Unknown,,['Armament'],,Unknown
273,Charlotte Saint-Marc,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
274,Charlotte Smoothie,Big Mom Pirates,Human-Longleg hybrid,Alive,Shibo Shibo no Mi,Grand Line (Totto Land),"['Observation', 'Armament']",932000000,Paramecia
275,Charlotte Snack,Big Mom Pirates,Human,Alive,Unknown,,,600000000,Unknown
276,Charlotte Tablet,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
277,Charlotte Wafers,Charlotte Family,Human,Alive,Unknown,,,,Unknown
278,Charlotte Wiro,Charlotte Family,Human-Snakeneck hybrid,Alive,Unknown,,,,Unknown
279,Charlotte Yuen,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
280,Charlotte Zuccotto,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
281,Chess,Drum Kingdom (former),Human,Alive,Unknown,Grand Line (Drum Kingdom),,,Unknown
282,Chesskippa,,Human,Unknown,Unknown,,,,Unknown
283,Chessmarimo,Drum Kingdom (former),Human,Alive,Unknown,,,,Unknown
284,Chew,Arlong Pirates,Fish-man,Alive,Unknown,Grand Line (Ryugu Kingdom),,5500000,Unknown
285,Chichilisia,Niho Navy,Human,Alive,Unknown,,,,Unknown
286,Chicken,,Human,Alive,Unknown,East Blue (Goa Kingdom),,,Unknown
287,Chicory,Tontatta Kingdom,Dwarf,Alive,Unknown,,,,Unknown
288,Chihaya,,Human,Alive,Unknown,,,,Unknown
289,Chimney,Kokoro,Merfolk-Human hybrid,Alive,Unknown,Grand Line (Water 7),,,Unknown
290,Chinjao,Chinjao Family,Human,Alive,Unknown,West Blue (Kano Country),"['Conquerors', 'Observation', 'Armament']",542000000,Unknown
291,Chiya,Shandia,Moon people - Shandian,Deceased,Unknown,Grand Line (Jaya),,,Unknown
292,Cho,,Human,Alive,Unknown,,,,Unknown
293,Chochinman,Beasts Pirates,Human,Alive,Phasmid SMILE,,,,Zoan
294,Chocho,,Human,Alive,Unknown,,,,Unknown
295,Choco Police,Cacao Island,Human,Unknown,Unknown,,,,Unknown
296,Chocolat,Fake Straw Hat Crew,Human,Unknown,Unknown,East Blue,,,Unknown
297,Choi,Whitebeard Pirates,Human,Alive,Unknown,,,,Unknown
298,Chokyumei-no Chosuke,,Human,Alive,Unknown,,,,Unknown
299,Chome,Beasts Pirates,Human,Alive,Unknown,Grand Line (Wano Country),,,Unknown
300,Chouchou,Hocker,Animal,Alive,Unknown,East Blue (Organ Islands),,,Unknown
301,Chuchun,Foxy Pirates (former),Animal,Alive,Unknown,,,,Unknown
302,Chuji,,Animal,Alive,Unknown,,,,Unknown
303,Clapp,,Buccaneer,Deceased,Unknown,South Blue (Sorbet Kingdom),,,Unknown
304,Clione,Heart Pirates,Human,Unknown,Unknown,,,,Unknown
